"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "JSON", "TypeScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 64, 0, 0, 0, 0, 1, 8, 73
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\PoemCardDickinson.tsx", "TypeScript JSX", 0, 0, 0, 66, 0, 0, 0, 0, 1, 9, 76
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\PoemCardShakespeare.tsx", "TypeScript JSX", 0, 0, 0, 102, 0, 0, 0, 0, 1, 9, 112
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 114, 0, 0, 0, 0, 1, 16, 131
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\components\ThemeButton.tsx", "TypeScript JSX", 0, 0, 0, 51, 0, 0, 0, 0, 1, 9, 61
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\pages\EmilyDsGreatestHits.tsx", "TypeScript JSX", 0, 0, 0, 64, 0, 0, 0, 0, 1, 9, 74
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\pages\PoetsList.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 2, 6, 67
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\pages\ShakespearesDen.tsx", "TypeScript JSX", 0, 0, 0, 92, 0, 0, 0, 0, 4, 11, 107
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\pages\_app.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\pages\_document.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\pages\api\hello.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 1, 3, 14
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\pages\index.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\service\fetchData.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\service\scrollToElement.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\service\scrollToTop.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\service\shufflePoems.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\service\songData.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\src\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 338, 55, 28, 421
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\tailwind.config.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 2, 2, 29
"c:\Users\ESH\Desktop\Dev\Projects\edsabhin\oberon-poetry-app\tsconfig.json", "JSON with Comments", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"Total", "-", 27, 56, 9, 1617, 4673, 374, 912, 338, 111, 274, 8391
